Species,DR_tip_rate
Elaeocarpus_glabripetalus,0.037949189
Elaeocarpus_decipiens,0.037949189
Elaeocarpus_japonicus,0.040035828
Elaeocarpus_chinensis,0.040035828
Celastrus_hypoleucoides,0.061769218
Celastrus_angulatus,0.181426675
Celastrus_hypoleucus,0.181426675
Celastrus_flagellaris,0.213811333
Celastrus_hindsii,0.310105522
Celastrus_gemmatus,0.5075403
Celastrus_orbiculatus,0.5075403
Celastrus_stylosus,0.381693446
Celastrus_oblanceifolius,0.572862772
Celastrus_aculeatus,0.572862772
Celastrus_rugosus,0.897768011
Celastrus_glaucophyllus,0.897768011
Celastrus_rosthornianus,0.60423362
Celastrus_vaniotii,0.394954532
Celastrus_scandens,0.205327718
Tripterygium_wilfordii,0.067865048
Tripterygium_hypoglaucum,0.067865048
Euonymus_nitidus,0.127504012
Euonymus_centidens,0.127504012
Euonymus_hamiltonianus,0.182604429
Euonymus_maackii,0.182604429
Euonymus_alatus,0.177203121
Euonymus_phellomanus,0.177203121
Euonymus_fortunei,0.177873055
Euonymus_carnosus,0.236202302
Euonymus_grandiflorus,0.236202302
Euonymus_verrucosus,0.111048802
Euonymus_myrianthus,0.079288142
Euonymus_semenovii,0.061580848
Euonymus_americanus,0.091711493
Euonymus_bockii,0.222369401
Euonymus_kiautschovicus,0.222369401
Euonymus_acanthocarpus,0.179719671
Euonymus_subsessilis,0.13442979
Euonymus_macropterus,0.157491479
Euonymus_oxyphyllus,0.157491479
Euonymus_sanguineus,0.10154898
Euonymus_euscaphis,0.028330261
Euonymus_hupehensis,0.028330261
Parnassia_foliosa,0.05086439
Parnassia_wightiana,0.078802617
Parnassia_delavayi,0.078802617
Parnassia_palustris,0.050210954
Parnassia_asarifolia,0.050210954
Parnassia_oreophila,0.021203082
Microtropis_fokienensis,0.010821462
Hemsleya_graciliflora,0.052534231
Hemsleya_chinensis,0.052534231
Gynostemma_pentaphyllum,0.028634804
Actinostemma_tenerum,0.030848532
Bolbostemma_paniculatum,0.030848532
Benincasa_hispida,0.067423025
Lagenaria_siceraria,0.067423025
Cucumis_anguria,0.069289122
Neoachmandra_japonica,0.069289122
Melothria_pendula,0.062113202
Cucurbita_moschata,0.04111911
Schizopepon_dioicus,0.035087314
Trichosanthes_cucumeroides,0.061154442
Trichosanthes_rosthornii,0.096428496
Trichosanthes_kirilowii,0.096428496
Luffa_aegyptiaca,0.037630592
Thladiantha_oliveri,0.124256317
Thladiantha_dubia,0.124256317
Thladiantha_henryi,0.072731419
Thladiantha_nudiflora,0.071834038
Thladiantha_hookeri,0.071834038
Begonia_grandis,0.133945699
Begonia_grandis_subsp._evansiana,0.133945699
Begonia_grandis_subsp._sinensis,0.075477202
Begonia_henryi,0.044851268
Begonia_pedatifida,0.032124891
Begonia_cubensis,0.02199308
Coriaria_nepalensis,0.013982915
Fagus_longipetiolata,0.090875101
Fagus_engleriana,0.090875101
Fagus_lucida,0.049905074
Fagus_sylvatica,0.026444778
Fagus_grandifolia,0.026444778
Lithocarpus_chrysocomus,0.059633323
Lithocarpus_brevicaudatus,0.059633323
Lithocarpus_paniculatus,0.059633323
Lithocarpus_eriobotryoides,0.059633323
Lithocarpus_glaber,0.205795295
Lithocarpus_henryi,0.205795295
Lithocarpus_hancei,0.139374354
Lithocarpus_cleistocarpus,0.08971503
Castanea_seguinii,0.11520479
Castanea_henryi,0.11520479
Castanea_pumila,0.079022446
Castanea_mollissima,0.118920924
Castanea_dentata,0.118920924
Castanopsis_tibetana,0.078986048
Castanopsis_fordii,0.263574014
Castanopsis_fargesii,0.263574014
Castanopsis_carlesii,0.185957271
Castanopsis_eyrei,0.218607883
Castanopsis_sclerophylla,0.218607883
Quercus_ilicifolia,0.036962701
Quercus_falcata,0.036962701
Quercus_imbricaria,0.036962701
Quercus_serrata,0.036962701
Quercus_acrodonta,0.036962701
Quercus_jenseniana,0.036962701
Quercus_prinus,0.036962701
Quercus_mongolica,0.036962701
Quercus_aliena,0.036962701
Quercus_multinervis,0.092140239
Quercus_stewardiana,0.130972934
Quercus_sessilifolia,0.260437008
Quercus_oxyodon,0.260437008
Quercus_ciliaris,0.247033311
Quercus_myrsinifolia,0.309270153
Quercus_glauca,0.309270153
Quercus_dolicholepis,0.070938603
Quercus_margarettae,0.148803135
Quercus_wutaishanica,0.179324825
Quercus_dentata,0.179324825
Quercus_fabri,0.123690197
Quercus_geminata,0.128692294
Quercus_lobata,0.176293045
Quercus_stellata,0.297103747
Quercus_montana,0.297103747
Quercus_michauxii,0.277177448
Quercus_alba,0.379329388
Quercus_chapmanii,0.379329388
Quercus_virginiana,0.327625168
Quercus_phillyraeoides,0.131569252
Quercus_variabilis,0.230201597
Quercus_acutissima,0.230201597
Quercus_spinosa,0.101073981
Quercus_incana,0.107255883
Quercus_phellos,0.107255883
Quercus_laurifolia,0.164129118
Quercus_velutina,0.189949071
Quercus_rubra_var._borealis,0.26727384
Quercus_rubra,0.26727384
Quercus_coccinea,0.174712464
Quercus_nigra,0.367948467
Quercus_hemisphaerica,0.367948467
Quercus_laevis,0.268206905
Quercus_pumila,0.300375911
Quercus_myrtifolia,0.300375911
Quercus_marilandica,0.096651906
Juglans_mandshurica,0.079403133
Juglans_cinerea,0.101235101
Juglans_cathayensis,0.101235101
Juglans_regia,0.058996629
Juglans_nigra,0.043603105
Cyclocarya_paliurus,0.042746332
Pterocarya_hupehensis,0.066299394
Pterocarya_macroptera,0.110087619
Pterocarya_macroptera_var._insignis,0.170179258
Pterocarya_stenoptera,0.170179258
Carya_tomentosa,0.03637776
Carya_pallida,0.03637776
Carya_cathayensis,0.03637776
Carya_illinoensis,0.068521448
Carya_ovata,0.128099762
Carya_cordiformis,0.228361055
Carya_ovalis,0.395111726
Carya_glabra,0.395111726
Platycarya_strobilacea,0.013535116
Morella_carolinensis,0.106392307
Morella_pumila,0.106392307
Morella_cerifera,0.067953975
Morella_rubra,0.041968312
Comptonia_peregrina,0.028195308
Myrica_gale,0.018006099
Alnus_serrulata,0.016593482
Alnus_viridis,0.028350061
Alnus_mandshurica,0.028350061
Alnus_japonica,0.02143325
Alnus_incana,0.026232964
Alnus_hirsuta,0.026232964
Betula_chinensis,0.017088128
Betula_ovalifolia,0.017088128
Betula_utilis_subsp._albosinensis,0.017088128
Betula_luminifera,0.022807279
Betula_nigra,0.024778625
Betula_lenta,0.026006508
Betula_papyrifera,0.048272546
Betula_alleghaniensis,0.048272546
Betula_utilis,0.026617337
Betula_schmidtii,0.030068191
Betula_fruticosa,0.03238776
Betula_costata,0.037320324
Betula_davurica,0.041430071
Betula_ermanii,0.044672981
Betula_platyphylla,0.044672981
Betula_austrosinensis,0.035196165
Betula_populifolia,0.023949438
Corylus_heterophylla_var._sutchuenensis,0.030416216
Corylus_ferox_var._thibetica,0.030416216
Corylus_mandshurica,0.030416216
Corylus_chinensis,0.063714436
Corylus_americana,0.114727381
Corylus_cornuta,0.114727381
Corylus_heterophylla,0.046377166
Ostrya_virginiana,0.053305117
Ostrya_rehderiana,0.053305117
Carpinus_caroliniana,0.107059363
Carpinus_tschonoskii,0.281044801
Carpinus_londoniana,0.281044801
Carpinus_viminea,0.167427678
Carpinus_turczaninovii,0.114407565
Carpinus_polyneura,0.192227904
Carpinus_pubescens,0.192227904
Carpinus_hupeana,0.054364989
Carpinus_fargesiana,0.054364989
Carpinus_cordata,0.054364989
Ostryopsis_davidiana,0.02446539
Potentilla_multifida,0.026429573
Potentilla_parvifolia,0.026429573
Potentilla_norvegica,0.019387418
Potentilla_nivea,0.017392647
Potentilla_tanacetifolia,0.019206088
Potentilla_recta,0.019206088
Potentilla_cryptotaeniae,0.024835261
Potentilla_kleiniana,0.024835261
Potentilla_verticillaris,0.02589775
Potentilla_multicaulis,0.02589775
Potentilla_discolor,0.0200939
Potentilla_longifolia,0.01539866
Potentilla_freyniana,0.014688436
Potentilla_flagellaris,0.023255302
Potentilla_canadensis,0.045953548
Potentilla_simplex,0.045953548
Potentilla_centigrana,0.015023758
Potentilla_sterilis,0.013978082
Potentilla_anserina,0.015015853
Potentilla_glabra,0.015015853
Potentilla_supina_subsp._paradoxa,0.018328786
Potentilla_supina_subsp._supina,0.018328786
Potentilla_ancistrifolia,0.013595865
Potentilla_simulatrix,0.013595865
Potentilla_reptans,0.013595865
Potentilla_argentea,0.013595865
Potentilla_fragarioides,0.013595865
Potentilla_chinensis,0.013595865
Potentilla_indica_var._indica,0.013595865
Duchesnea_indica,0.017929592
Duchesnea_chrysantha,0.017929592
Comarum_palustre,0.016686523
Potentilla_tridentata,0.031637401
Sibbaldia_procumbens,0.031637401
Fragaria_orientalis,0.027153965
Fragaria_virginiana,0.027153965
Chamaerhodos_canescens,0.037652522
Chamaerhodos_erecta,0.037652522
Dasiphora_fruticosa,0.019231757
Sanguisorba_officinalis,0.032656072
Sanguisorba_tenuifolia,0.032656072
Sanguisorba_sitchensis,0.017292224
Sanguisorba_obtusa,0.014683645
Sanguisorba_parviflora,0.014683645
Sanguisorba_applanata,0.014683645
Sanguisorba_officinalis_var._longifolia,0.014683645
Agrimonia_gryposepala,0.023292141
Agrimonia_parviflora,0.023292141
Agrimonia_rostellata,0.023292141
Agrimonia_microcarpa,0.023292141
Agrimonia_coreana,0.023292141
Agrimonia_pilosa,0.023292141
Rosa_bracteata,0.012881518
Rosa_sertata,0.012881518
Rosa_maximowicziana,0.012881518
Rosa_dahurica,0.012881518
Rosa_koreana,0.027501553
Rosa_carolina,0.037062757
Rosa_davurica,0.052539051
Rosa_bella,0.052539051
Rosa_palustris,0.019262357
Rosa_henryi,0.017234712
Rosa_multiflora,0.019684094
Rosa_helenae,0.019684094
Rosa_roxburghii,0.020279486
Rosa_caudata,0.021148432
Rosa_acicularis,0.021148432
Rosa_laevigata,0.019747716
Rosa_cymosa,0.028336228
Rosa_banksiae,0.028336228
Rosa_multiflora_var._cathayensis,0.017440978
Rosa_rubus,0.015800755
Rubus_pensilvanicus,0.011675696
Rubus_pubescens,0.011675696
Rubus_canadensis,0.011675696
Dalibarda_repens,0.011675696
Rubus_buergeri,0.011675696
Rubus_hispidus,0.011675696
Rubus_sachalinensis,0.011675696
Rubus_hunanensis,0.011675696
Rubus_trivialis,0.011675696
Rubus_setosus,0.011675696
Rubus_argutus,0.011675696
Rubus_amabilis,0.011675696
Rubus_chingii,0.011675696
Rubus_parkeri,0.011675696
Rubus_kulinganus,0.011675696
Rubus_flosculosus,0.011675696
Rubus_adenophorus,0.011675696
Rubus_pungens_var._oldhamii,0.011675696
Rubus_tsangiorum,0.011675696
Rubus_playfairianus,0.011675696
Rubus_inopertus,0.011675696
Rubus_peltatus,0.011675696
Rubus_henryi,0.011675696
Rubus_xanthoneurus,0.011675696
Rubus_lambertianus_var._glaber,0.011675696
Rubus_pacificus,0.011675696
Rubus_pileatus,0.011675696
Rubus_sumatranus,0.011675696
Rubus_innominatus_var._kuntzeanus,0.011675696
Rubus_impressinervius,0.011675696
Rubus_occidentalis,0.018195791
Rubus_pungens,0.018195791
Rubus_saxatilis,0.017734867
Rubus_setchuenensis,0.023407471
Rubus_amphidasys,0.035822162
Rubus_swinhoei,0.037799693
Rubus_lambertianus,0.063566805
Rubus_reflexus,0.063566805
Rubus_irenaeus,0.040876295
Rubus_pectinellus,0.039318688
Rubus_tephrodes,0.033081976
Rubus_ichangensis,0.028978911
Rubus_rosifolius,0.032764604
Rubus_hirsutus,0.032764604
Rubus_corchorifolius,0.021448346
Rubus_trianthus,0.033686405
Rubus_crataegifolius,0.033686405
Rubus_arcticus,0.01636857
Rubus_innominatus,0.027861835
Rubus_phoenicolasius,0.040847637
Rubus_parvifolius,0.040847637
Rubus_coreanus,0.022892088
Rubus_idaeus,0.016979011
Rubus_cuneifolius,0.016824738
Rubus_allegheniensis,0.016824738
Rubus_flagellaris,0.015930659
Rubus_odoratus,0.013557788
Rubus_chamaemorus,0.012816543
Geum_canadense,0.015791921
Geum_japonicum,0.015791921
Geum_virginianum,0.015791921
Geum_laciniatum,0.015791921
Geum_rivale,0.030676695
Geum_aleppicum,0.030676695
Filipendula_intermedia,0.016685456
Filipendula_palmata,0.061138513
Filipendula_angustiloba,0.061138513
Filipendula_glaberrima,0.031338417
Dryas_octopetala_var._asiatica,0.010332799
Photinia_pyrifolia,0.197772424
Aronia_melanocarpa,0.197772424
Aronia_arbutifolia,0.197772424
Malus_angustifolia,0.145524087
Malus_leiocalyca,0.145524087
Malus_soulardii,0.145524087
Malus_komarovii,0.145524087
Malus_asiatica,0.145524087
Malus_hupehensis,0.243069395
Malus_pumila,0.243069395
Malus_baccata,0.381049936
Malus_mandshurica,0.381049936
Malus_sieboldii,0.18604496
Photinia_beauverdiana,0.139968794
Photinia_schneideriana,0.447507853
Photinia_villosa,1.156050433
Photinia_parvifolia,1.156050433
Photinia_hirsuta,0.752090437
Photinia_komarovii,0.258056437
Photinia_glabra,0.107810187
Photinia_serratifolia,0.13341046
Photinia_davidsoniae,0.13341046
Pyracantha_fortuneana,0.161969667
Pyracantha_atalantioides,0.161969667
Pyracantha_crenulata,0.161969667
Crataegus_flabellata,0.13606439
Crataegus_hupehensis,0.13606439
Crataegus_dahurica,0.13606439
Crataegus_michauxii,0.13606439
Crataegus_macrosperma,0.13606439
Crataegus_sp.,0.13606439
Crataegus_maximowiczii,0.212128213
Crataegus_wilsonii,0.212128213
Crataegus_pinnatifida,0.173530514
Crataegus_monogyna,0.13606439
Sorbus_discolor,0.137082511
Sorbus_americana,0.137082511
Sorbus_dunnii,0.169142487
Sorbus_alnifolia,0.169142487
Sorbus_tianschanica,0.108365287
Sorbus_pohuashanensis,0.108365287
Sorbus_caloneura,0.108365287
Sorbus_hemsleyi,0.108365287
Sorbus_amabilis,0.108365287
Sorbus_folgneri,0.108365287
Sorbus_keissleri,0.108365287
Sorbus_wilsoniana,0.108365287
Sorbus_glomerulata,0.108365287
Pyrus_ussuriensis,0.267252308
Pyrus_koehnei,0.267252308
Pyrus_communis,0.425250257
Pyrus_betulifolia,0.425250257
Pyrus_calleryana,0.266167551
Pyrus_pyrifolia,0.13113927
Rhaphiolepis_indica,0.112324252
Rhaphiolepis_major,0.112324252
Eriobotrya_japonica,0.103017742
Cotoneaster_tenuipes,0.129434732
Cotoneaster_zabelii,0.129434732
Cotoneaster_gracilis,0.129434732
Cotoneaster_glabratus,0.129434732
Cotoneaster_buxifolius,0.920522476
Cotoneaster_apiculatus,0.920522476
Cotoneaster_salicifolius,0.504830939
Cotoneaster_divaricatus,0.40064595
Cotoneaster_acutifolius,0.301671534
Cotoneaster_bullatus,0.525414107
Cotoneaster_foveolatus,0.525414107
Cotoneaster_dielsianus,0.617174932
Cotoneaster_silvestrii,0.617174932
Cotoneaster_dammeri,0.300256872
Cotoneaster_horizontalis,0.129434732
Amelanchier_arborea,0.245055422
Amelanchier_laevis,0.245055422
Amelanchier_bartramiana,0.238757617
Amelanchier_canadensis,0.238757617
Amelanchier_asiatica,0.083871894
Amelanchier_stolonifera,0.083871894
Amelanchier_sp.,0.083871894
Stranvaesia_davidiana,0.079008735
Stranvaesia_amphidoxa,0.079008735
Gillenia_trifoliata,0.026314637
Spiraea_henryi,0.040403956
Spiraea_x_vanhouttei,0.040403956
Spiraea_alba,0.040403956
Spiraea_tomentosa,0.040403956
Spiraea_prunifolia_var._simpliciflora,0.040403956
Spiraea_cantoniensis,0.150729509
Spiraea_trilobata,0.296457087
Spiraea_mongolica,0.296457087
Spiraea_japonica,0.159407832
Spiraea_salicifolia,0.159407832
Spiraea_trichocarpa,0.403615367
Spiraea_blumei,0.403615367
Spiraea_pubescens,0.379000369
Spiraea_chinensis,0.379000369
Spiraea_media,0.489568056
Spiraea_prunifolia,0.489568056
Spiraea_dahurica,0.284250811
Spiraea_veitchii,0.160720782
Spiraea_sericea,0.040403956
Aruncus_dioicus,0.024095023
Sorbaria_arborea,0.037681481
Sorbaria_sorbifolia,0.037681481
Prunus_angustifolia,0.167552573
Prunus_umbellata,0.167552573
Prunus_nigra,0.123477049
Prunus_salicina,0.083657205
Prunus_japonica,0.253365212
Prunus_humilis,0.253365212
Prunus_armeniaca,0.138484217
Prunus_glandulosa,0.085068359
Prunus_davidiana,0.081496617
Prunus_mume,0.119499662
Prunus_persica,0.119499662
Prunus_serrulata,0.078839982
Prunus_subhirtella,0.078839982
Prunus_discoidea,0.145303449
Prunus_tatsienensis,0.26010772
Prunus_polytricha,0.26010772
Prunus_conradinae,0.202640896
Prunus_maackii,0.09470747
Prunus_schneideriana,0.100800503
Prunus_pensylvanica,0.100800503
Prunus_maximowiczii,0.077801904
Prunus_avium,0.063082131
Prunus_caroliniana,0.041429121
Prunus_virginiana,0.041429121
Prunus_buergeriana,0.076951127
Prunus_wilsonii,0.153365115
Prunus_incisoserrata,0.153365115
Prunus_serotina,0.05629534
Prunus_spinulosa,0.050620129
Prunus_padus,0.050620129
Prunus_grayana,0.039767942
Prunus_cerasoides_var._campanulata,0.027751804
Prunus_phaeosticta,0.022776303
Prunus_undulata,0.022776303
Prunus_brachypoda,0.022776303
Prunus_obtusata,0.022776303
Prunus_sachalinensis,0.022776303
Prunus_dictyoneura,0.022776303
Prunus_leveilleana,0.022776303
Prunus_sp.,0.022776303
Prunus_nikaii,0.022776303
Neillia_hanceana,0.024575479
Physocarpus_amurensis,0.045231942
Physocarpus_opulifolius,0.045231942
Rhodotypos_scandens,0.019800612
Kerria_japonica,0.019800612
Exochorda_racemosa,0.043903444
Exochorda_serratifolia,0.043903444
Exochorda_giraldii_var._wilsonii,0.043903444
Prinsepia_sinensis,0.025726074
Broussonetia_kazinoki,0.044066068
